Number of customers: 2960620
Cust. 4.	262051	20.0%	[115280, 62752, 118264, 118730, 80729, 121145, 38025, 18235, 19189, 67284]
Cust. 6.	1561885	20.0%	[113838, 114025, 83089, 13499, 13798, 35427, 80883, 113682, 92870, 51588]
Cust. 7.	335878	20.0%	[42155, 25166, 79361, 23112, 11878, 82603, 55085, 119901, 31178, 57081]
Cust. 9.	161403	10.0%	[89995, 6899, 89523, 22150, 4145, 76954, 47608, 38973, 42903, 38974]
Cust. 14.	161403	10.0%	[89995, 6899, 89523, 22150, 4145, 76954, 47608, 38973, 42903, 38974]
Cust. 17.	922821	20.0%	[49892, 86941, 18721, 93715, 83228, 92605, 15100, 104186, 8342, 100397]
Cust. 18.	1342851	30.0%	[71069, 111024, 18887, 79637, 57860, 33238, 97500, 7706, 86243, 72125]
Cust. 19.	161403	10.0%	[89995, 6899, 89523, 22150, 4145, 76954, 47608, 38973, 42903, 38974]
Cust. 23.	1274232	10.0%	[111816, 71601, 29537, 91624, 93532, 115631, 88432, 89428, 26273, 30501]
Cust. 28.	1561885	20.0%	[113838, 114025, 83089, 13499, 13798, 35427, 80883, 113682, 92870, 51588]
Cust. 29.	151689	10.0%	[29884, 118713, 38585, 17925, 74017, 44355, 30478, 119667, 67899, 73381]
Cust. 31.	161403	10.0%	[89995, 6899, 89523, 22150, 4145, 76954, 47608, 38973, 42903, 38974]
Cust. 35.	1977149	10.0%	[54917, 78113, 62003, 58694, 58193, 41, 118180, 102285, 13737, 100885]
Cust. 40.	1363368	10.0%	[110062, 31473, 122239, 36478, 123431, 66285, 80186, 60729, 106580, 66050]
Cust. 44.	1545349	10.0%	[101610, 78960, 53240, 94827, 97491, 71926, 95276, 81414, 62161, 102807]
Cust. 49.	1139204	20.0%	[13055, 55877, 96583, 62759, 27137, 8167, 119036, 30262, 58013, 37670]
Cust. 51.	1561885	20.0%	[113838, 114025, 83089, 13499, 13798, 35427, 80883, 113682, 92870, 51588]
Cust. 54.	1109957	40.0%	[34136, 34772, 14110, 82423, 21802, 82174, 29673, 50689, 107300, 16816]
Cust. 59.	1545349	10.0%	[101610, 78960, 53240, 94827, 97491, 71926, 95276, 81414, 62161, 102807]
Cust. 60.	661025	20.0%	[81674, 45652, 112106, 84077, 37472, 73923, 106584, 28954, 91969, 111757]
Cust. 66.	1868657	10.0%	[118835, 39021, 52019, 58986, 43254, 75575, 9684, 54844, 69086, 46573]
Cust. 69.	1561885	20.0%	[113838, 114025, 83089, 13499, 13798, 35427, 80883, 113682, 92870, 51588]
Cust. 73.	1977149	10.0%	[54917, 78113, 62003, 58694, 58193, 41, 118180, 102285, 13737, 100885]
Cust. 76.	335878	20.0%	[42155, 25166, 79361, 23112, 11878, 82603, 55085, 119901, 31178, 57081]
Cust. 81.	1207269	10.0%	[24218, 72766, 8793, 71257, 6620, 6101, 89116, 4530, 17179, 105970]
Cust. 82.	2048672	20.0%	[62641, 105970, 100857, 4530, 91962, 95892, 5432, 6101, 6620, 115965]
Cust. 85.	617531	20.0%	[122316, 50041, 36900, 112585, 9074, 74344, 43265, 53850, 45218, 92245]
Cust. 91.	1607497	10.0%	[68735, 91820, 67011, 52470, 99479, 113451, 72173, 78613, 84851, 25425]
Cust. 95.	2000815	10.0%	[60, 113176, 92630, 61128, 81731, 123355, 98429, 116852, 120573, 25219]
Cust. 97.	1109957	40.0%	[34136, 34772, 14110, 82423, 21802, 82174, 29673, 50689, 107300, 16816]
Cust. 102.	2048672	20.0%	[62641, 105970, 100857, 4530, 91962, 95892, 5432, 6101, 6620, 115965]
Cust. 104.	101478	30.0%	[106888, 64163, 107239, 24096, 71663, 3403, 95239, 97619, 120974, 9460]
Cust. 105.	499225	10.0%	[5644, 18763, 101432, 30594, 84553, 103283, 4233, 59166, 89874, 98051]
Cust. 111.	1122186	10.0%	[55972, 82767, 55060, 36644, 13851, 41803, 47744, 71558, 48127, 109954]
Cust. 113.	1561885	20.0%	[113838, 114025, 83089, 13499, 13798, 35427, 80883, 113682, 92870, 51588]
Cust. 115.	510860	20.0%	[46584, 104751, 31242, 74348, 104099, 54408, 13919, 112205, 71132, 116186]
Cust. 117.	661025	20.0%	[81674, 45652, 112106, 84077, 37472, 73923, 106584, 28954, 91969, 111757]
Cust. 118.	1380100	40.0%	[66069, 77697, 86493, 69302, 81674, 84077, 6701, 64356, 45652, 8598]
Cust. 123.	473373	10.0%	[44532, 233, 121241, 98313, 11804, 34731, 48325, 121497, 108651, 40012]
Cust. 124.	1660375	10.0%	[78473, 74021, 90010, 95000, 109112, 57134, 118405, 93054, 46933, 59985]
Cust. 129.	1158368	10.0%	[86243, 30124, 18887, 79637, 70468, 121848, 65820, 84025, 75776, 19753]
Cust. 134.	348587	10.0%	[90774, 21764, 43254, 48956, 95239, 24096, 87984, 55514, 97619, 105663]
Cust. 137.	1624657	10.0%	[78250, 113372, 33111, 88472, 99279, 59057, 35903, 114270, 42449, 68473]
Cust. 139.	1084108	10.0%	[98046, 107841, 122752, 49840, 71122, 40785, 27362, 55846, 95303, 77558]
Cust. 144.	1109957	40.0%	[34136, 34772, 14110, 82423, 21802, 82174, 29673, 50689, 107300, 16816]
Cust. 146.	671868	20.0%	[121909, 74572, 74440, 19, 11333, 69767, 74372, 27669, 118107, 6188]
Cust. 149.	724120	20.0%	[66391, 94121, 111172, 103252, 88525, 70850, 32092, 76768, 101690, 14986]
Cust. 150.	1977149	10.0%	[54917, 78113, 62003, 58694, 58193, 41, 118180, 102285, 13737, 100885]
Cust. 152.	760874	20.0%	[45641, 101725, 91033, 17720, 19072, 40984, 68043, 337, 78543, 40854]
Cust. 154.	2049237	10.0%	[110478, 75671, 43911, 31211, 53586, 24920, 9632, 48777, 19862, 85482]
Cust. 155.	611391	20.0%	[55344, 15054, 111074, 57134, 11938, 21832, 54376, 52914, 31053, 95119]
Cust. 157.	1788621	10.0%	[97851, 34780, 12650, 22731, 79255, 10447, 30264, 70369, 99265, 14428]
Cust. 159.	1088925	20.0%	[123472, 48676, 103892, 2332, 8776, 100415, 8500, 20068, 11040, 22649]
Cust. 161.	1084108	10.0%	[98046, 107841, 122752, 49840, 71122, 40785, 27362, 55846, 95303, 77558]
Cust. 168.	1792164	30.0%	[40995, 26391, 79202, 104911, 26070, 44323, 30591, 71050, 105792, 103602]
Cust. 169.	1998698	10.0%	[8026, 12464, 11519, 19358, 69435, 120317, 65923, 99816, 64163, 95239]
Cust. 171.	1545349	10.0%	[101610, 78960, 53240, 94827, 97491, 71926, 95276, 81414, 62161, 102807]
